Number,Question
1,Tell me about a time when you had to work closely with someone whose personality was very different from yours?
2,Give me an example of a time you faced a conflict with a coworker. How did you handle that?
3,Describe a time when you had to step up and demonstrate leadership skills.
4,Tell me about a time you made a mistake and wish you’d handled a situation with a colleague differently.
5,Tell me about a time you needed to get information from someone who wasn’t very responsive. What did you do?
6,"Tell me about a time you were under a lot of pressure at work or at school. What was going on, and how did you get through it?"
7,"Describe a time when your team or company was undergoing some change. How did that impact you, and how did you adapt?"
8,Tell me about settling into your last job. What did you do to learn the ropes?
9,Give me an example of a time when you had to think on your feet.
10,Tell me about a time you failed. How did you deal with the situation?
11,Give me an example of a time you managed numerous responsibilities. How did you handle that?
12,Describe a long-term project that you kept on track. How did you keep everything moving?
13,Tell me about a time your responsibilities got a little overwhelming. What did you do?
14,Tell me about a time you set a goal for yourself. How did you go about ensuring that you would meet your objective?
15,Tell me about a time an unexpected problem derailed your planning. How did you recover?
16,Tell me about a time when you had to rely on written communication to get your ideas across.
17,Give me an example of a time when you were able to successfully persuade someone at work to see things your way.
18,Describe a time when you were the resident technical expert. What did you do to make sure everyone was able to understand you?
19,Give me an example of a time when you had to have a difficult conversation with a frustrated client or colleague. How did you handle the situation?
20,Tell me about a successful presentation you gave and why you think it was a hit.
21,Tell me about a time when you worked under either extremely close supervision or extremely loose supervision. How did you handle that?
22,Give me an example of a time you were able to be creative with your work. What was exciting or difficult about it?
23,Tell me about a time you were dissatisfied in your role. What could have been done to make it better?
